Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal,Battery Voltage [V],Battery Current [A],Battery Temperature [�C]
0,0,574,0,0,-0.03,,391.4,-2.2,21
0.1,0,574,0,0,0,,391.4,-2.21,21
0.2,0,574,0,0,-0.01,,391.4,-2.26,21
0.3,0,574,0,0,-0.03,,391.4,-2.3,21
0.4,0,574,0,0,-0.03,,391.4,-2.3,21
0.5,0,574,0,0,-0.01,,391.4,-2.3,21
0.6,0,574,0,0,-0.01,,391.4,-2.3,21
0.7,0,574,0,0,-0.03,,391.4,-2.31,21
0.8,0,574,0,0.38,-0.01,,391.4,-2.36,21
0.9,0,574,0,0.12,-0.01,,391.4,-2.37,21
1,0,574,0,0.38,0.01,,391.4,-2.27,21
1.1,0,574,0,0,-0.02,,391.4,-2.21,21
1.2,0,574,0,0,-0.03,,391.4,-2.26,21
1.3,0,574,0,0,-0.01,,391.4,-2.33,21
1.4,0,574,0,0,0.02,,391.4,-2.43,21
1.5,0,574,0,0,0,,391.39,-2.54,21
1.6,0,574,0,0,-0.03,,391.34,-2.69,21
1.7,0,574,0,0,-0.01,,391.3,-2.83,21
1.8,0,574,0,0.23,-0.03,,391.3,-2.93,21
1.9,0,574,0,0.23,-0.03,,391.3,-3.03,21
2,0,574,0,0.77,-0.03,,391.3,-3.13,21
2.1,0,574,0,0.62,-0.05,,391.3,-3.19,21
2.2,0,574,1.35,0.23,-0.03,,391.3,-3.14,21
2.3,0,574,4.47,1.5,0.04,,391.3,-3.1,21
2.4,0,574,6.07,3.88,0,,391.3,-3.1,21
2.5,0,574,8.79,5.5,-0.03,,391.3,-3.17,21
2.6,0,574,12.21,7.62,0.02,,391.3,-3.42,21
2.7,0,574,15.56,12.85,0.08,,391.29,-3.67,21
2.8,0,574,17.81,18.73,0.17,,391.24,-3.92,21
2.9,0,574,21.44,24.85,0.19,,391.2,-4.21,21
3,0,574,21.76,32.82,0.27,,391.2,-4.61,21
3.1,0,574,20.93,41.7,0.41,,391.19,-4.93,21
3.2,0.2,574,19.26,47.5,0.43,,391.14,-5.03,21
3.3,0.58,574,18.7,48.62,0.46,,391.1,-5.14,21
3.4,0.87,574,17.66,49.23,0.45,,391.1,-5.29,21
3.5,1,574,16.49,49.27,0.43,,391.1,-5.43,21
3.6,1.24,574,15.84,48,0.46,,391.1,-5.53,21
3.7,1.42,574,14.21,47.5,0.42,,391.1,-5.57,21
3.8,1.61,574,11.83,45.5,0.39,,391.1,-5.47,21
3.9,1.77,574,10.15,42.65,0.32,,391.11,-5.32,21
4,1.92,574,10.19,36.65,0.26,,391.16,-5.02,21
4.1,2.07,574,10.35,30.77,0.18,,391.2,-4.73,21
4.2,2.11,574,10.67,26,0.15,,391.2,-4.48,21
4.3,2.19,574,12.21,23.27,0.1,,391.2,-4.29,21
4.4,2.22,574,13.32,20.62,0.12,,391.2,-4.24,21
4.5,2.27,574,15.49,19.73,0.11,,391.2,-4.24,21
4.6,2.32,574,15.73,20.62,0.18,,391.2,-4.39,21
4.7,2.39,574,15.6,23,0.14,,391.2,-4.56,21
4.8,2.46,574,15.43,24.27,0.16,,391.2,-4.76,21
4.9,2.56,574,15.28,25.12,0.22,,391.2,-4.89,21
5,2.62,574,14.95,24.5,0.25,,391.2,-4.84,21
5.1,2.71,574,14.5,22.74,0.2,,391.2,-4.79,21
5.2,2.78,574,14.53,21.62,0.24,,391.2,-4.74,21
5.3,2.88,574,14.63,21.12,0.18,,391.2,-4.69,21
5.4,2.94,574,14.63,20.5,0.2,,391.2,-4.64,21
5.5,3,574,14.63,18.76,0.17,,391.2,-4.59,21
5.6,3.08,574,14.63,16.65,0.15,,391.2,-4.54,21
5.7,3.14,574,14.63,15.12,0.17,,391.2,-4.46,21
5.8,3.19,574,14.63,15.5,0.15,,391.2,-4.31,21
5.9,3.25,574,14.5,14.15,0.2,,391.2,-4.16,21
6,3.3,574,14.5,12.24,0.14,,391.2,-4.01,21
6.1,3.33,574,14.5,11.76,0.13,,391.2,-3.87,21
6.2,3.36,574,14.5,10.74,0.11,,391.2,-3.77,21
6.3,3.39,574,14.63,9.38,0.06,,391.21,-3.67,21
6.4,3.42,574,14.8,8,0.03,,391.26,-3.57,21
6.5,3.42,574,14.95,7.88,0.05,,391.3,-3.47,21
6.6,3.45,574,15.28,6.62,0.05,,391.3,-3.37,21
6.7,3.45,574,16.49,6.53,0.08,,391.3,-3.3,21
6.8,3.47,574,18.59,4.47,0.02,,391.3,-3.3,21
6.9,3.47,574,20.26,6.38,0.06,,391.29,-3.45,21
7,3.48,574,20.7,11.09,0.09,,391.24,-4,21
7.1,3.53,574,20.7,15.62,0.21,,391.19,-4.5,21
7.2,3.61,574,20.55,20,0.26,,391.14,-4.85,21
7.3,3.71,574,20.7,21.5,0.34,,391.1,-5.16,21
7.4,3.82,574,20.67,22.97,0.35,,391.1,-5.36,21
7.5,3.92,574,20.7,23.74,0.33,,391.1,-5.53,21
7.6,4.04,574,21.18,24.47,0.31,,391.1,-5.63,21
7.7,4.16,574,22.69,25.74,0.33,,391.09,-5.81,21
7.8,4.29,574,24.4,27.12,0.4,,391.04,-6.21,21
7.9,4.44,574,25.06,30.12,0.48,,390.99,-6.65,21
8,4.6,574,25,34.74,0.51,,390.94,-7.2,21
8.1,4.81,574,24.69,36,0.54,,390.9,-7.64,21
8.2,4.99,574,24.25,37.36,0.55,,390.9,-7.79,21
8.3,5.2,574,23.95,37,0.53,,390.9,-7.8,21
8.4,5.38,574,23.14,35.38,0.49,,390.9,-7.45,21
8.5,5.55,574,22.73,32.03,0.39,,390.93,-7,21
8.6,5.69,574,22.4,26.03,0.3,,391.03,-6.3,21
8.7,5.8,574,22.4,19.86,0.22,,391.1,-5.66,21
8.8,5.88,574,22.4,16.76,0.17,,391.1,-5.16,21
8.9,5.94,574,22.73,14.76,0.13,,391.11,-4.72,21
9,6,574,22.9,11.24,0.06,,391.16,-4.42,21
9.1,6.05,574,23.87,10.26,0.05,,391.2,-4.14,21
9.2,6.08,574,25.21,8.62,0.07,,391.2,-3.94,21
9.3,6.09,574,25.35,7.12,0.07,,391.2,-3.76,21
9.4,6.13,574,25.35,7.12,0.05,,391.2,-3.61,21
9.5,6.14,574,25.18,4.88,-0.04,,391.21,-3.39,21
9.6,6.19,574,25.18,2.62,-0.03,,391.26,-2.99,21
9.7,6.16,574,25.35,1.26,-0.08,,391.3,-2.73,21
9.8,6.13,574,25.5,1,-0.04,,391.3,-2.83,21
9.9,6.11,574,26.04,1.5,-0.01,,391.3,-2.98,21
10,6.11,574,26.58,3.38,0.01,,391.3,-3.28,21
10.1,6.13,574,27.27,5.5,-0.02,,391.29,-3.53,21
10.2,6.13,574,28.45,4.88,0.02,,391.24,-3.63,21
10.3,6.14,574,28.45,7.12,0.06,,391.2,-3.76,21
10.4,6.19,574,28.45,7.88,0.07,,391.2,-3.96,21
10.5,6.22,574,28.28,8.74,0.05,,391.2,-4.14,21
10.6,6.3,574,28.28,11,0.13,,391.2,-4.29,21
10.7,6.36,574,28.31,10.5,0.11,,391.2,-4.37,21
10.8,6.42,574,28.45,9.38,0.04,,391.2,-4.27,21
10.9,6.46,574,28.48,9.88,0.06,,391.2,-4.17,21
11,6.51,574,28.6,9.38,0,,391.2,-4.07,21
11.1,6.57,574,28.93,8,0.06,,391.2,-4,21
11.2,6.61,574,28.93,7.62,0.09,,391.2,-4,21
11.3,6.66,574,29.71,8.38,0.06,,391.2,-4.04,21
11.4,6.71,574,30,7.88,0.05,,391.2,-4.19,21
11.5,6.77,574,30,8.74,0.05,,391.2,-4.36,21
11.6,6.82,574,30,10.12,0.1,,391.2,-4.56,21
11.7,6.89,574,30,11.5,0.12,,391.2,-4.67,21
11.8,6.96,574,30.04,12.12,0.14,,391.2,-4.57,21
11.9,7.02,574,30.37,10.88,0.05,,391.19,-4.51,21
12,7.1,574,31.22,9,0.05,,391.14,-4.56,21
12.1,7.16,574,31.1,10.88,0.12,,391.1,-4.63,21
12.2,7.24,574,31.1,12.5,0.16,,391.1,-4.73,21
12.3,7.32,574,31.1,12,0.12,,391.11,-4.76,21
12.4,7.38,574,31.1,11.5,0.11,,391.16,-4.61,21
12.5,7.43,574,30.93,9.5,0.03,,391.2,-4.44,21
12.6,7.5,574,30.89,9,0.03,,391.2,-4.24,21
12.7,7.55,574,30.74,7.24,0.03,,391.2,-4.04,21
12.8,7.58,574,30.59,7.76,0.01,,391.2,-3.84,21
12.9,7.63,574,30.3,5,0.03,,391.21,-3.59,21
13,7.67,574,30.3,2.38,-0.04,,391.26,-3.19,21
13.1,7.68,574,30,1.74,-0.08,,391.3,-2.9,21
13.2,7.68,574,30.63,0,-0.11,,391.3,-2.9,21
13.3,7.72,574,30.89,1,-0.08,,391.29,-2.98,21
13.4,7.72,574,30.81,2.38,-0.04,,391.24,-3.28,21
13.5,7.7,574,30.78,3.62,-0.03,,391.21,-3.4,21
13.6,7.73,574,30.78,1.38,-0.1,,391.26,-3.05,21
13.7,7.75,574,30.78,1,-0.11,,391.3,-2.84,21
13.8,7.76,574,30.93,1.88,-0.08,,391.3,-2.99,21
13.9,7.78,574,31.92,2.24,-0.04,,391.29,-3.2,21
14,7.8,574,33.34,3,0.02,,391.24,-3.55,21
14.1,7.83,574,34.72,4.74,0.03,,391.19,-4.02,21
14.2,7.88,574,36.38,7.88,0.08,,391.14,-4.82,21
14.3,7.96,574,36.65,13.38,0.19,,391.07,-5.76,21
14.4,8.07,574,36.65,20.24,0.28,,390.97,-7.06,21
14.5,8.19,574,36.62,25.5,0.36,,390.89,-8.2,21
14.6,8.38,574,36.5,29,0.38,,390.84,-8.9,21
14.7,8.58,574,36.5,31.36,0.4,,390.79,-9.53,21
14.8,8.79,574,36.5,32.74,0.42,,390.74,-9.98,21
14.9,8.97,574,36.38,34.88,0.46,,390.7,-10.34,21
15,9.19,574,36.05,35.12,0.5,,390.7,-10.49,21
15.1,9.4,574,35.53,34.12,0.52,,390.7,-10.54,21
15.2,9.6,574,34.28,33.12,0.53,,390.7,-10.34,21
15.3,9.76,574,32.55,31.74,0.41,,390.71,-9.88,21
15.4,9.92,574,30.16,27.76,0.4,,390.76,-8.73,21
15.5,10.05,574,27.57,21.64,0.24,,390.83,-7.59,21
15.6,10.17,574,26,16.5,0.14,,390.93,-6.49,21
15.7,10.3,574,23.69,12.14,0.08,,391.03,-5.35,21
15.8,10.39,574,21.05,6.5,-0.08,,391.13,-4.1,21
15.9,10.42,574,16.44,2.5,-0.19,,391.23,-2.86,21
16,10.42,574,11.96,0,-0.31,,391.33,-1.66,21
16.1,10.35,574,8.25,-9.24,-0.43,,391.43,-0.45,21
16.2,10.24,574,4.98,-17.1,-0.47,,391.53,0.8,21
16.3,10.15,574,3.95,-24.74,-0.65,,391.63,2.06,21
16.4,9.99,574,4.1,-34.22,-0.72,,391.73,3.36,21
16.5,9.81,574,4.1,-42.62,-0.88,,391.83,4.52,21
16.6,9.53,574,4.25,-48.98,-0.98,,391.93,5.32,21
16.7,9.2,574,4.76,-57.74,-1.12,,392,5.96,21
16.8,8.82,574,6.84,-63.1,-1.35,,392,6.16,21
16.9,8.42,574,9.48,-67.64,-1.25,,391.97,5.87,21
17,8.07,574,11.77,-57.53,-1.11,,391.87,4.32,21
17.1,7.78,574,13.81,-48.14,-0.99,,391.79,2.95,21
17.2,7.57,574,16.49,-43.4,-0.92,,391.74,2.05,21
17.3,7.38,574,19.99,-33.76,-0.67,,391.67,1.06,21
17.4,7.28,574,23.21,-23.64,-0.48,,391.57,-0.14,21
17.5,7.23,574,23.44,-14.14,-0.42,,391.5,-1,21
17.6,7.25,574,23.18,-12.62,-0.39,,391.5,-1,21
17.7,7.24,574,22.88,-14,-0.46,,391.5,-1,21
17.8,7.23,574,22.73,-14,-0.47,,391.5,-1,21
17.9,7.21,574,22.88,-13.5,-0.44,,391.5,-1.01,21
18,7.18,574,22.88,-12.83,-0.46,,391.5,-1.06,21
18.1,7.16,574,23,-13,-0.49,,391.5,-1.13,21
18.2,7.16,574,23,-13,-0.42,,391.5,-1.23,21
18.3,7.16,574,23,-11,-0.33,,391.5,-1.29,21
18.4,7.11,574,23,-11.67,-0.46,,391.5,-1.24,21
18.5,7.13,574,23.18,-12,-0.56,,391.49,-1.23,21
18.6,7.21,574,23.65,-11.5,-0.45,,391.44,-1.33,21
18.7,7.2,574,23.8,-9.58,-0.45,,391.4,-1.48,21
18.8,7.11,574,25.45,-9.42,-0.38,,391.4,-1.78,21
18.9,7,574,28.55,-6.25,-0.25,,391.39,-2.13,21
19,7.02,574,32.27,0.17,-0.23,,391.34,-2.58,21
19.1,6.93,574,33.58,1.08,-0.11,,391.29,-3.14,21
19.2,6.82,574,33.88,4.34,0.06,,391.24,-3.99,21
19.3,6.82,574,33.73,9.75,0.19,,391.17,-4.95,21
19.4,6.84,574,33.55,17.08,0.34,,391.07,-6.2,21
19.5,6.86,574,33.53,24.08,0.44,,390.99,-7.24,21
19.6,6.99,574,33.53,27.67,0.63,,390.94,-7.74,21
19.7,7.12,574,33.38,28.08,0.89,,390.89,-8.27,21
19.8,7.26,574,32.77,31.5,0.88,,390.84,-8.87,21
19.9,7.24,574,32.8,34.83,0.56,,390.8,-9.19,21
20,7.31,574,32.95,31.42,0.62,,390.8,-8.79,21
20.1,7.36,574,33.29,31.42,0.63,,390.8,-8.53,21
20.2,7.39,574,34.03,29,0.54,,390.8,-8.63,21
20.3,7.39,574,34.35,31.08,0.53,,390.8,-8.74,21
20.4,7.38,574,34.5,31.58,0.41,,390.8,-8.89,21
20.5,7.36,574,36.34,33.5,0.39,,390.77,-9.42,21
20.6,7.38,574,40.02,34.17,0.47,,390.67,-10.92,21
20.7,7.48,574,42.15,45.76,0.71,,390.49,-13.36,21
20.8,7.66,574,42.58,67.51,1.07,,390.09,-18.21,21
20.9,8,574,42.23,90.59,1.33,,389.79,-21.88,21
21,8.39,574,41.73,96.92,1.35,,389.74,-22.53,21
21.1,8.83,574,39.18,93.42,1.23,,389.7,-22.79,21
21.2,9.17,574,35.85,92.42,1.22,,389.7,-22.04,21
21.3,9.55,574,35.28,82.33,0.99,,389.76,-20.73,21
21.4,9.87,574,34.43,68.58,0.79,,389.96,-17.98,21
21.5,10.07,574,33.53,57.08,0.73,,390.16,-15.41,21
21.6,10.26,574,32.8,47.08,0.66,,390.36,-13.31,21
21.7,10.4,574,32.63,37,0.5,,390.53,-11.46,21
21.8,10.5,574,32.63,30.92,0.32,,390.63,-10.26,21
21.9,10.55,574,32.95,27.58,0.17,,390.71,-9.18,21
22,10.6,574,33.29,22.42,0.12,,390.76,-8.38,21
22.1,10.57,574,33.81,19.64,0.16,,390.8,-7.77,21
22.2,10.6,574,36.58,18.5,0.14,,390.8,-7.67,21
22.3,10.67,574,39.08,18.93,0.05,,390.76,-8.34,21
22.4,10.73,574,41.21,24.07,0.11,,390.61,-10.99,21
22.5,10.79,574,41.46,37.28,0.47,,390.42,-13.87,21
22.6,11.12,574,41.18,52.36,0.56,,390.12,-17.32,21
22.7,11.36,574,41,62.57,0.58,,389.87,-20.11,21
22.8,11.73,574,40.81,66.86,0.7,,389.77,-21.21,21
22.9,12.09,574,39.93,67.07,0.68,,389.69,-22.04,21
23,12.42,574,39.93,67,0.65,,389.64,-22.19,21
23.1,12.76,574,39.93,66.43,0.68,,389.6,-22.31,21
23.2,13.15,574,39.93,64.93,0.64,,389.6,-22.36,21
23.3,13.52,574,39.93,63.07,0.68,,389.6,-22.48,21
23.4,13.89,574,40.08,62,0.69,,389.6,-22.78,21
23.5,14.23,574,40.08,61.5,0.67,,389.59,-23,21
23.6,14.55,574,40.23,61.93,0.62,,389.54,-23,21
23.7,14.87,574,40.4,59.14,0.67,,389.5,-23.07,21
23.8,15.22,574,40.4,59.43,0.72,,389.5,-23.32,21
23.9,15.59,574,40.57,58.93,0.78,,389.49,-23.67,21
24,15.89,574,40.68,58.57,0.92,,389.44,-24.27,21
24.1,16.23,574,40.53,59.07,0.83,,389.4,-24.7,21
24.2,16.59,574,40.57,58.85,0.77,,389.4,-24.7,21
24.3,16.95,574,40.68,57.43,0.78,,389.39,-24.73,21
24.4,17.31,574,40.68,56.15,0.82,,389.34,-24.83,21
24.5,17.67,574,40.68,55.86,0.79,,389.3,-24.96,21
24.6,18.05,574,40.55,54.65,0.85,,389.3,-25.16,21
24.7,18.36,574,40.57,54.5,0.82,,389.3,-25.22,21
24.8,18.59,574,40.4,54.78,0.71,,389.3,-24.92,21
24.9,18.85,574,40.4,51.93,0.75,,389.3,-24.66,21
25,18.97,574,40.55,52.57,0.68,,389.3,-24.51,21
25.1,19.3,574,40.68,50.36,0.59,,389.3,-24.53,21
25.2,19.58,574,41,49.07,0.6,,389.3,-24.98,21
25.3,19.89,574,41.02,50.5,0.7,,389.29,-25.4,21
25.4,20.11,574,40.85,50.57,0.73,,389.24,-25.75,21
25.5,20.36,574,40.85,51.43,0.76,,389.2,-25.96,21
25.6,20.64,574,41.18,49.35,0.77,,389.2,-25.81,21
25.7,20.93,574,41.33,49.43,0.75,,389.19,-25.8,21
25.8,21.09,574,41.33,50.57,0.66,,389.14,-26.15,21
25.9,21.31,574,41.48,49.5,0.71,,389.09,-26.55,21
26,21.58,574,41.93,49.5,0.78,,389.04,-27.1,21
26.1,21.82,574,42.08,50.07,0.8,,388.99,-27.7,21
26.2,21.84,574,41.63,52,0.74,,388.94,-28.4,21
26.3,22.25,574,43.09,53.28,0.69,,388.89,-29.1,21
26.4,22.53,574,44.96,51,0.74,,388.84,-29.8,21
26.5,23.01,574,45.8,53,0.66,,388.65,-32.31,21
26.6,23.3,574,44.21,66.29,1.83,,388.1,-39.46,21
26.7,23.7,574,42.7,78.65,1.52,,387.77,-43.45,21
26.8,23.77,574,43,77.21,0.62,,388.02,-39.35,21
26.9,24.09,574,43.35,64.13,0.89,,388.19,-36.6,21
27,24.49,574,43.15,63.93,1.05,,388.14,-37.3,21
27.1,24.96,574,43.03,63,0.93,,388.1,-37.79,21
27.2,25.26,574,42.85,64.57,0.81,,388.1,-37.74,21
27.3,25.54,574,43.03,62.43,0.74,,388.11,-37.49,21
27.4,25.87,574,43.35,58.85,0.82,,388.16,-36.74,21
27.5,26.17,574,43.15,58.43,0.81,,388.2,-36.17,21
27.6,26.48,574,43.03,57.35,0.82,,388.2,-36.07,21
27.7,26.76,574,43.15,56.43,0.84,,388.2,-35.85,21
27.8,26.94,574,43.03,56.5,0.81,,388.2,-35.3,21
27.9,27.26,574,42.85,54.35,0.74,,388.2,-34.93,21
28,27.57,574,42.85,52.93,0.69,,388.2,-35.03,21
28.1,27.83,574,42.83,52.93,0.75,,388.21,-34.97,21
28.2,28.06,574,42.87,52,0.77,,388.26,-34.52,21
28.3,28.25,574,43.33,50.85,0.72,,388.31,-34,21
28.4,28.56,574,42.7,49.85,0.71,,388.36,-33.3,21
28.5,28.84,574,42.25,47.93,0.71,,388.41,-32.59,21
28.6,29.12,574,41.41,46.57,0.59,,388.46,-31.84,21
28.7,29.36,574,39.71,44.85,0.53,,388.56,-30.6,21
28.8,29.58,574,39.15,39.43,0.41,,388.76,-28.1,21
28.9,29.72,574,39.15,36.35,0.42,,388.96,-25.62,21
29,29.9,574,39.3,31.7,0.48,,389.16,-23.22,21
29.1,30.08,574,39.28,27.93,0.32,,389.31,-21.22,21
29.2,30.16,574,38.48,28.07,0.19,,389.36,-20.22,21
29.3,30.28,574,38.08,25.78,0.2,,389.43,-19.15,21
29.4,30.32,574,37.9,23.57,0.26,,389.53,-17.9,21
29.5,30.44,574,37.43,21.78,0.25,,389.61,-16.87,21
29.6,30.54,574,37.1,19.43,0.18,,389.66,-16.42,21
29.7,30.61,574,36.5,19.93,0.17,,389.71,-15.86,21
29.8,30.68,574,36.2,17.85,0.18,,389.76,-15.01,21
29.9,30.73,574,36.2,17.28,0.17,,389.83,-14.2,21
30,30.8,574,36.38,15.15,0.14,,389.93,-13.5,21
30.1,30.81,574,36.07,14.5,-0.05,,390.01,-12.83,21
30.2,30.88,574,36.05,15.07,0.09,,390.06,-12.23,21
30.3,30.87,574,36.2,12.93,0.13,,390.1,-11.65,21
30.4,30.96,574,36.38,10.57,0,,390.1,-11.1,21
30.5,30.96,574,36.07,11.78,0.05,,390.11,-10.7,21
30.6,30.98,574,36.05,9.57,0.05,,390.16,-10.7,21
30.7,30.87,574,36.05,10.57,-0.02,,390.21,-10.56,21
30.8,30.92,574,36.38,9.43,0,,390.26,-10.06,21
30.9,30.89,574,36.2,9.07,0.07,,390.3,-9.71,21
31,30.94,574,36.38,10.07,0.06,,390.3,-9.76,21
31.1,30.98,574,36.48,9.07,0.06,,390.29,-9.86,21
31.2,30.92,574,36.5,10.57,0.08,,390.24,-10.06,21
31.3,30.92,574,36.98,10.07,0.06,,390.19,-10.4,21
31.4,30.87,574,37.32,10.65,0.08,,390.14,-11.1,21
31.5,30.91,574,38.85,12,0.14,,390.09,-11.83,21
31.6,30.98,574,39,12.5,0.03,,390.04,-12.63,21
31.7,31.01,574,39.64,14.57,0.11,,389.99,-13.35,21
31.8,31.05,574,41.86,15.08,0.1,,389.94,-13.9,21
31.9,31.08,574,46.3,15.72,0.15,,389.73,-16.82,21
32,31.14,574,50.56,21.8,0.37,,389.13,-25.77,21
32.1,31.15,574,50.3,38.9,0.69,,388.42,-35.45,21
32.2,31.53,574,51.89,61.33,0.6,,387.42,-47,21
32.3,32.04,574,51.45,73.07,1.17,,386.49,-56.96,21
32.4,32.27,574,38.31,85.48,2.11,,385.74,-62.86,21
32.5,32.87,574,35.53,100.06,1.3,,385.62,-62.35,21
32.6,33.17,574,35.13,59.15,0.9,,387.12,-45.5,21
32.7,33.44,574,34.95,42.43,0.8,,388.3,-32.01,21
32.8,33.71,574,35.13,37.27,0.39,,388.65,-27.06,21
32.9,33.9,574,35.1,28.78,0.19,,388.97,-22.77,21
33,34.01,574,34.95,23.5,0.14,,389.22,-20.17,21
33.1,34.07,574,35.13,19.65,0.1,,389.46,-17.72,21
33.2,34.13,574,34.95,18.77,0.04,,389.66,-15.67,21
33.3,34.18,574,35.1,14.57,0.03,,389.83,-13.85,21
33.4,34.24,574,35.13,15.77,0.06,,389.93,-12.6,21
33.5,34.34,574,35.13,11.15,0.07,,390,-11.78,21
33.6,34.37,574,34.95,11.72,0.04,,390,-12.08,21
33.7,34.38,574,35.13,11.65,0.04,,390.01,-12.07,21
33.8,34.33,574,34.95,9.3,0.03,,390.06,-11.27,21
33.9,34.38,574,34.95,8.8,0,,390.13,-10.43,21
34,34.37,574,34.95,6.3,0.09,,390.23,-9.48,21
34.1,34.36,574,34.95,6.65,0.04,,390.3,-8.77,21
34.2,34.37,574,34.97,6.65,-0.07,,390.3,-8.67,21
34.3,34.23,574,35.42,6.65,-0.04,,390.29,-8.77,21
34.4,34.24,574,36.07,7.77,-0.02,,390.24,-9.37,21
34.5,34.25,574,36.67,8.58,-0.01,,390.19,-9.88,21
34.6,34.23,574,37,8.73,-0.06,,390.14,-10.18,21
34.7,34.2,574,37.49,9.15,0.11,,390.09,-10.6,21
34.8,34.27,574,38.68,11.85,0.08,,390.04,-11.3,21
34.9,34.28,574,38.5,12.27,0.02,,389.97,-12.21,21
35,34.3,574,38.38,14,0.02,,389.87,-13.66,21
35.1,34.23,574,38.53,15.05,-0.02,,389.81,-14.59,21
35.2,34.28,574,38.84,13.65,0.12,,389.86,-14.19,21
35.3,34.37,574,39.32,14.05,0.23,,389.87,-14.22,21
35.4,34.36,574,40.41,14.76,0.02,,389.77,-15.37,21
35.5,34.4,574,40.86,17.95,0.12,,389.69,-16.37,21
35.6,34.41,574,41.49,17.95,0.25,,389.64,-16.97,21
35.7,34.51,574,41.78,18.15,0.12,,389.57,-17.67,21
35.8,34.63,574,41.78,19.85,0.14,,389.47,-18.62,21
35.9,34.6,574,41.78,21.95,0.13,,389.4,-19.48,21
36,34.76,574,42.24,21.4,0.18,,389.4,-20.13,21
36.1,34.84,574,42.25,22.7,0.01,,389.37,-20.76,21
36.2,34.91,574,42.1,23.9,0.2,,389.27,-21.31,21
36.3,35.01,574,41.94,24.95,0.28,,389.19,-21.83,21
36.4,35.1,574,41.93,26,0.3,,389.14,-22.28,21
36.5,35.24,574,41.78,26,0.41,,389.11,-22.52,21
36.6,35.38,574,41.78,26.45,0.31,,389.16,-22.22,21
36.7,35.46,574,41.65,24.95,0.34,,389.2,-21.94,21
36.8,35.51,574,41.76,25.45,0.27,,389.2,-21.74,21
36.9,35.63,574,41.76,24.45,0.23,,389.2,-21.6,21
37,35.73,574,41.78,24.05,0.24,,389.2,-21.6,21
37.1,35.84,574,41.78,23.55,0.53,,389.2,-21.6,21
37.2,35.95,574,41.65,24.95,0.37,,389.2,-21.6,21
37.3,36.08,574,41.66,24.4,0.29,,389.2,-21.53,21
37.4,36.24,574,41.65,23.1,0.29,,389.2,-21.28,21
37.5,36.34,574,41.65,23.45,0.34,,389.2,-21.09,21
37.6,36.28,574,41.33,23.5,0.17,,389.2,-21.04,21
37.7,36.32,574,41.49,23.4,0.13,,389.21,-20.86,21
37.8,36.44,574,41.48,21.45,0.23,,389.26,-20.36,21
37.9,36.49,574,41.02,21.95,0.2,,389.3,-19.87,21
38,36.55,574,41.18,19.55,0.11,,389.3,-19.42,21
38.1,36.57,574,41.18,20.95,0.19,,389.31,-19.02,21
38.2,36.58,574,41.18,19.45,0.03,,389.36,-18.72,21
38.3,36.61,574,41,19.5,0.07,,389.41,-18.42,21
38.4,36.7,574,40.63,18.45,0.2,,389.46,-18.12,21
38.5,36.74,574,37.66,18.5,0.1,,389.51,-17.59,21
38.6,36.81,574,35.28,16.95,0.18,,389.56,-16.49,21
38.7,36.84,574,34.63,16.84,0.11,,389.63,-15.38,21
38.8,36.88,574,34.48,13.45,0.07,,389.73,-14.23,21
38.9,36.89,574,34.48,12.55,0.03,,389.83,-13.16,21
39,36.85,574,34.8,11.05,0.01,,389.93,-12.31,21
39.1,36.89,574,34.8,10.55,-0.01,,390.01,-11.45,21
39.2,36.92,574,34.97,9.45,-0.01,,390.06,-10.55,21
39.3,36.73,574,34.95,8.05,0.29,,390.13,-9.6,21
39.4,36.86,574,35.28,8,-0.13,,390.23,-8.55,21
39.5,36.86,574,35.28,5.95,0.02,,390.3,-7.77,21
39.6,36.84,574,35.26,7.05,0.02,,390.3,-7.67,21
39.7,36.82,574,35.28,5.45,-0.06,,390.29,-7.73,21
39.8,36.86,574,35.13,7,-0.05,,390.24,-8.18,21
39.9,36.87,574,35.28,6.45,-0.13,,390.2,-8.5,21
40,36.85,574,35.28,6.5,-0.1,,390.2,-8.5,21
40.1,36.88,574,35.11,6.5,0.01,,390.21,-8.47,21
40.2,36.91,574,35.28,7.5,-0.1,,390.26,-8.37,21
40.3,36.88,574,35.28,6.5,0,,390.29,-8.3,21
40.4,36.87,574,35.13,7.05,0.01,,390.24,-8.3,21
40.5,36.91,574,35.13,6.45,-0.03,,390.2,-8.36,21
40.6,36.9,574,35.11,6.5,0.03,,390.2,-8.56,21
40.7,36.88,574,34.95,6.95,-0.07,,390.21,-8.63,21
40.8,36.88,574,34.8,5.55,-0.03,,390.26,-8.38,21
40.9,36.88,574,34.65,6.45,-0.08,,390.3,-8.21,21
41,36.9,574,34.65,5.05,-0.09,,390.3,-8.26,21
41.1,36.91,574,33.73,6.05,-0.17,,390.31,-8.1,21
41.2,36.89,574,33.71,4.45,-0.06,,390.36,-7.4,21
41.3,36.95,574,33.54,4.55,-0.48,,390.41,-6.66,21
41.4,36.82,574,32.94,3.5,0.13,,390.46,-5.81,21
41.5,36.95,574,32.48,3.4,-0.1,,390.5,-5.28,21
41.6,36.93,574,31.08,2,0.06,,390.5,-5.58,21
